sim_run,groups,categories_per_group,dependency_level,method,SRMSE 1,AMAE,AKLD,MACD_S,MACD_C,time_taken (s)
1,5,2,0.8,Reference,0.22705000000000003,1.13525,0.36083451056478333,0.0,0.0,
1,5,2,0.8,IPF,0.00812500000000001,0.04062500000000005,0.0005288231390598634,0.006123504870896205,0.0169894317530186,0.10595150664448738
1,5,2,0.8,N-BIPF,0.015350000000000008,0.07675000000000004,0.0019810775102718043,0.006677443903618943,0.014536546444677874,0.11651848815381527
1,5,2,0.8,S-BIPF,0.03305,0.16525,0.006711315539011817,0.010912822308667223,0.021797376122655168,0.3231845051050186
1,5,2,0.8,N-BIPF-RP,0.014900000000000014,0.07450000000000007,0.001469153564999835,0.007021681949180324,0.0171988126461216,0.11589881591498852
1,5,2,0.8,S-BIPF-RP,0.03507500000000001,0.17537500000000003,0.009551957643446464,0.012619815808533644,0.02974458416433103,0.3161446340382099
1,5,2,0.5,Reference,0.1526,0.7630000000000001,0.15436027130600527,0.0,0.0,
1,5,2,0.5,IPF,0.010000000000000004,0.05000000000000002,0.0008258314376533955,0.006317541425227729,0.010683205696041228,0.1699574701488018
1,5,2,0.5,N-BIPF,0.008974999999999993,0.04487499999999997,0.0006467641260976169,0.005909153418696869,0.009370250100772417,0.1824666764587164
1,5,2,0.5,S-BIPF,0.014975000000000006,0.07487500000000002,0.0016524219104610241,0.011363986547269047,0.0225410044246864,0.47480349615216255
1,5,2,0.5,N-BIPF-RP,0.014174999999999976,0.07087499999999988,0.0014594078275815758,0.006483770123253179,0.012425135988708542,0.1908473428338766
1,5,2,0.5,S-BIPF-RP,0.021875,0.109375,0.0035701721458355714,0.012544066849245371,0.021691009951623288,0.4860274940729141
1,5,2,0.2,Reference,0.2652,1.3260000000000003,0.4994290930800022,0.0,0.0,
1,5,2,0.2,IPF,0.011375000000000007,0.05687500000000004,0.0008257637488796547,0.013688179526801042,0.027206679983078377,0.10709219053387642
1,5,2,0.2,N-BIPF,0.04607500000000002,0.23037500000000008,0.013252861131977024,0.011996320835991517,0.021859187404769276,0.11464926600456238
1,5,2,0.2,S-BIPF,0.03385,0.16924999999999998,0.0105016380072504,0.017901275476555477,0.033707957033027855,0.3181281816214323
1,5,2,0.2,N-BIPF-RP,0.04592500000000002,0.2296250000000001,0.014538295782108173,0.011441593329413226,0.02536840998623272,0.11347130313515663
1,5,2,0.2,S-BIPF-RP,0.042675000000000025,0.21337500000000012,0.013848542669412114,0.0196769949420058,0.03874151148789765,0.31767729856073856
1,5,4,0.8,Reference,0.3014267242595724,0.6349375,0.5552295368279404,0.0,0.0,
1,5,4,0.8,IPF,0.02078763601675776,0.0454375,0.002595111531979123,0.010462554246521507,0.04612640895235305,8.483790699392557
1,5,4,0.8,N-BIPF,0.04523842003224384,0.09812500000000002,0.013142819499060862,0.011234478966211933,0.04205238352160856,0.13025196827948093
1,5,4,0.8,S-BIPF,0.043939413862338295,0.09462500000000004,0.015454696539695742,0.017196008388240386,0.05628555412754285,0.3298070654273033
1,5,4,0.8,N-BIPF-RP,0.04903269773797934,0.105875,0.015738288562395078,0.010939384358799738,0.04209032287356137,0.12846945598721504
1,5,4,0.8,S-BIPF-RP,0.05597375552942665,0.1189375,0.021179335615982252,0.01575910972572724,0.05675517370605235,0.339147312566638
1,5,4,0.5,Reference,0.2509933273988928,0.540625,0.38402416468929285,0.0,0.0,
1,5,4,0.5,IPF,0.01721805973068753,0.037125000000000005,0.001606916653753592,0.010191232738077744,0.04203960756288481,3.4763127472251654
1,5,4,0.5,N-BIPF,0.03922428844587079,0.08681249999999999,0.008468938293134082,0.013691874942581464,0.04270095677669762,0.1206472609192133
1,5,4,0.5,S-BIPF,0.04509998327683666,0.09787500000000002,0.012727675803227013,0.01400525223468716,0.04933209371116349,0.325784157961607
1,5,4,0.5,N-BIPF-RP,0.02884540001825591,0.06412499999999996,0.004812764157444917,0.01230676190522936,0.040903017656510395,0.11627956666052341
1,5,4,0.5,S-BIPF-RP,0.04595751012132446,0.09818749999999998,0.013703161353843446,0.014559837264601487,0.05697697553595971,0.32060592249035835
1,5,4,0.2,Reference,0.2509508464709582,0.5481875,0.3815677201347241,0.0,0.0,
1,5,4,0.2,IPF,0.01566647307247754,0.031999999999999994,0.001292611566863224,0.012700909140204799,0.04338072981231932,2.8057802338153124
1,5,4,0.2,N-BIPF,0.05246929244331024,0.11281249999999995,0.015515642291726705,0.011186849728072991,0.04066113509288189,0.11602208577096462
1,5,4,0.2,S-BIPF,0.04195027908762548,0.0910625,0.01126756827796096,0.019607331009044337,0.05941850196220069,0.31904210336506367
1,5,4,0.2,N-BIPF-RP,0.04614247607989247,0.09906250000000005,0.01260440505931004,0.011075182856345896,0.04021064519803997,0.2754668742418289
1,5,4,0.2,S-BIPF-RP,0.04952040133382364,0.1063125,0.017317049142904023,0.019412410874880038,0.06142753905950653,0.6981848329305649
1,5,6,0.8,Reference,0.25939738341038115,0.3475,0.3872657107397886,0.0,0.0,
1,5,6,0.8,IPF,0.02265058932992781,0.032708333333333325,0.002764678238941057,0.01629372698859459,0.06261605299729096,678.7181196305901
1,5,6,0.8,N-BIPF,0.06168956024765382,0.08399999999999999,0.02013495310370725,0.013464506871948164,0.05724249915199827,0.1589992754161358
1,5,6,0.8,S-BIPF,0.06767251058332609,0.09491666666666666,0.02718182380760698,0.018161148135686093,0.07675682409072436,0.38594164699316025
1,5,6,0.8,N-BIPF-RP,0.0636048002187283,0.08458333333333336,0.022024423865575633,0.015858863473094682,0.05844759209925021,0.1564018279314041
1,5,6,0.8,S-BIPF-RP,0.05167442283929511,0.07079166666666668,0.016098084400544256,0.017252147406971577,0.0785888950803565,0.3648083321750164
1,5,6,0.5,Reference,0.27583056077271073,0.40950000000000003,0.4303751044260506,0.0,0.0,
1,5,6,0.5,IPF,0.023779243086822926,0.03445833333333335,0.0029561078401383304,0.013800477797868315,0.05773630136947862,335.99753014184535
1,5,6,0.5,N-BIPF,0.056396739205165455,0.07854166666666666,0.0179057372373883,0.010464881415448195,0.053688667387149565,0.13410471379756927
1,5,6,0.5,S-BIPF,0.06058284027536376,0.08512500000000005,0.022629101117815062,0.014693954074741606,0.07761875025138029,0.33876731619238853
1,5,6,0.5,N-BIPF-RP,0.05475247832692738,0.07587499999999998,0.017468457357008423,0.009421886105986085,0.05342323834413902,0.12836175225675106
1,5,6,0.5,S-BIPF-RP,0.0661312494313176,0.09299999999999999,0.026349928918157687,0.014087733944083766,0.0737379802728089,0.33830210752785206
1,5,6,0.2,Reference,0.2523964247513323,0.35470833333333335,0.3503723904055819,0.0,0.0,
1,5,6,0.2,IPF,0.026097006378785943,0.03650000000000002,0.003718914177345197,0.00897851034141805,0.05205946348803284,312.02944678254426
1,5,6,0.2,N-BIPF,0.0549247048270851,0.08025000000000002,0.016504374671383718,0.010109164971462437,0.05364565350980486,0.10663429647684097
1,5,6,0.2,S-BIPF,0.04715556186078522,0.06658333333333333,0.014384163331931338,0.015059208401655989,0.06994707584477208,0.284558629617095
1,5,6,0.2,N-BIPF-RP,0.05035521441317775,0.07375000000000001,0.01390649221334368,0.011396595509917902,0.0537247475176891,0.10714512690901756
1,5,6,0.2,S-BIPF-RP,0.05721067094407051,0.07775000000000001,0.020970211690299684,0.01573432693259826,0.06842145167768113,0.28700741194188595
1,2,2,0.8,Reference,0.316225,1.5811250000000001,0.6063514704195869,0.0,0.0,
1,2,2,0.8,IPF,0.006324999999999997,0.031624999999999986,0.00037377408957442037,0.009411413598226122,0.018405276224908697,0.11347569152712822
1,2,2,0.8,N-BIPF,0.010874999999999973,0.05437499999999987,0.0008639343399661988,0.010744772377151086,0.021820017999964816,0.08903712406754494
1,2,2,0.8,S-BIPF,0.021499999999999984,0.10749999999999993,0.005126524256639417,0.01687900477856308,0.03518962118799114,0.17964093759655952
1,2,2,0.8,N-BIPF-RP,0.011700000000000016,0.05850000000000008,0.0009284075022442322,0.007978481588187246,0.01695025636908093,0.08724724873900414
1,2,2,0.8,S-BIPF-RP,0.01985,0.09925,0.005257590488478908,0.008923245039703882,0.016958554246000342,0.33462999761104584
1,2,2,0.5,Reference,0.238025,1.1901249999999999,0.4191308949972284,0.0,0.0,
1,2,2,0.5,IPF,0.01202499999999999,0.060124999999999956,0.0009666118191942224,0.009898569495892308,0.021373104473797325,0.0917364526540041
1,2,2,0.5,N-BIPF,0.016849999999999997,0.08424999999999999,0.00171188991693226,0.008734257432163698,0.01809547224650015,0.06941606663167477
1,2,2,0.5,S-BIPF,0.013524999999999971,0.06762499999999985,0.0018384480063719088,0.012294063264233348,0.02583992433561547,0.1465317513793707
1,2,2,0.5,N-BIPF-RP,0.022299999999999993,0.11149999999999996,0.003411424934646149,0.011349928846675305,0.024499069898092564,0.06976514123380184
1,2,2,0.5,S-BIPF-RP,0.030275000000000014,0.15137500000000007,0.00948388222225769,0.009896810834951916,0.021028693876837378,0.2617140877991915
1,2,2,0.2,Reference,0.194,0.97,0.24959918041836648,0.0,0.0,
1,2,2,0.2,IPF,0.008549999999999997,0.04274999999999998,0.0005969417398800974,0.0077315918726664845,0.014443307064546327,0.1078412588685751
1,2,2,0.2,N-BIPF,0.023449999999999978,0.11724999999999988,0.003449134452337106,0.006350477436526611,0.012921972607223229,0.08253870718181133
1,2,2,0.2,S-BIPF,0.01347500000000001,0.06737500000000005,0.0012363915814421187,0.010033045894635152,0.018149463841381618,0.1709097996354103
