groups,categories_per_group,dependency_level,method,SRMSE 1,AMAE,AKLD,MACD_S,MACD_C,time_taken (s),SRMSE 1_std,AMAE_std,AKLD_std,MACD_S_std,MACD_C_std,time_taken (s)_std
8,2,0.8,Reference,0.206553125,1.652425,0.5337676804713076,0.0,0.0,,0.04417543016678977,0.35340344133431806,0.2065638889847665,0.0,0.0,
8,2,0.8,IPF,,,,,,,,,,,,
8,2,0.8,N-BIPF,0.02334625,0.18677,0.007174501524935091,0.009948719163315502,0.018831124574242727,0.2180967329442501,0.00822308908117806,0.06578471264942448,0.005198290316325552,0.002129669792663016,0.003936201210245737,0.06886537308783021
8,2,0.8,S-BIPF,0.0287434375,0.2299475,0.011748326100135837,0.017897165432066004,0.03313775980106733,0.6424870716407896,0.008216838385634959,0.06573470708507967,0.008027380921172713,0.0036289118225549355,0.006696849062444781,0.19674924964828483
8,2,0.8,N-BIPF-RP,0.02294375,0.18355,0.007101832909776407,0.010028187368708277,0.019091635446162304,0.21348591770976783,0.008786372108067616,0.07029097686454093,0.005544811464883394,0.002205116934033139,0.003964901605235056,0.06244048554191836
8,2,0.8,S-BIPF-RP,0.044266875,0.354135,0.03302271396499792,0.01715788604651936,0.031603156662701144,0.6606889969110489,0.011056016436400782,0.08844813149120626,0.015878328672158413,0.002702863896551251,0.005213562076138775,0.21524046508601793
8,2,0.5,Reference,0.18742375,1.49939,0.44320789333696753,0.0,0.0,,0.034940965074508314,0.2795277205960665,0.15102576353380226,0.0,0.0,
8,2,0.5,IPF,,,,,,,,,,,,
8,2,0.5,N-BIPF,0.02449625,0.19597,0.007691627012107396,0.010186065957824739,0.019864769518086255,0.20947825439274312,0.007815271549201287,0.0625221723936103,0.005021418141429632,0.0018771355197077135,0.0035779591189375208,0.0592065509398461
8,2,0.5,S-BIPF,0.027014062499999998,0.21611249999999999,0.010967451957026664,0.017594090081103485,0.03304933640106616,0.6309675914421677,0.007112359733124704,0.05689887786499763,0.006371460545459678,0.002174615464572664,0.004130287379634351,0.1715439130598135
8,2,0.5,N-BIPF-RP,0.024268124999999995,0.19414499999999996,0.007650943953558417,0.010241465219612784,0.01986959523860092,0.22732004664838315,0.007771251028901922,0.06217000823121538,0.004656129320753254,0.0019505230372871486,0.003606279258195438,0.07011343576965069
8,2,0.5,S-BIPF-RP,0.040753750000000005,0.32603000000000004,0.02655891981434271,0.017577620199703037,0.03317058170105936,0.6415973571687936,0.010241071701021294,0.08192857360817034,0.01247545363185343,0.0024582579761763534,0.004775007261780235,0.17202147430442274
8,2,0.2,Reference,0.180875625,1.447005,0.4100693788489906,0.0,0.0,,0.02565747867064678,0.20525982936517428,0.09518350399203251,0.0,0.0,
8,2,0.2,IPF,,,,,,,,,,,,
8,2,0.2,N-BIPF,0.0230265625,0.1842125,0.006857337880685899,0.00990970993686193,0.01918065861055925,0.2303069470822811,0.007202817702008966,0.05762254161607173,0.004562927260776623,0.0014668042947289146,0.002496824518210028,0.07744181529097043
8,2,0.2,S-BIPF,0.026781875,0.214255,0.010667175276037895,0.01797140568224411,0.0334657671094865,0.7213871586322784,0.00641892952524017,0.05135143620192136,0.0048791848985475055,0.002114677423734566,0.00422520733220158,0.253478076461258
8,2,0.2,N-BIPF-RP,0.023025625000000004,0.18420500000000004,0.006967542966402549,0.00995544169520525,0.01919756417918012,0.23057019200176002,0.006954820404973349,0.05563856323978678,0.00471551411125187,0.0014027311238597817,0.0024345212419205112,0.07187789202007981
8,2,0.2,S-BIPF-RP,0.031382812499999996,0.25106249999999997,0.014350397650320361,0.017874542419797267,0.0333325096654475,0.7039991427212954,0.007750985661121391,0.06200788528897113,0.0070345938651505445,0.0021545291967938023,0.003938038206493562,0.22550620904269958
8,4,0.8,Reference,0.25977020635029724,0.90605,0.6415124686892054,0.0,0.0,,0.02253984241631328,0.08130076808727965,0.10886772432734579,0.0,0.0,
8,4,0.8,IPF,,,,,,,,,,,,
8,4,0.8,N-BIPF,0.05433649501086034,0.18878374999999997,0.027717177453089114,0.012466856586621873,0.04829062945807328,0.2306443952023983,0.008598490511455472,0.029405019425443577,0.008427781389278102,0.002171071403241997,0.004901415196764644,0.06997944391407371
8,4,0.8,S-BIPF,0.06237857176979771,0.214915,0.041065166551385666,0.02006027212313736,0.07632310856784198,0.6388943921774626,0.008679299620556673,0.030486702939518547,0.011691828296043975,0.0029244521399515054,0.006954966325297013,0.17495739618671458
8,4,0.8,N-BIPF-RP,0.054591756687093,0.18927875,0.028101440699498176,0.012579515062528723,0.0484684390993012,0.22613827139139175,0.008914495250414175,0.03119892819019328,0.009086495493829455,0.002150163042033956,0.005022913842707582,0.06872482984166244
8,4,0.8,S-BIPF-RP,0.06986827083057692,0.24126625000000002,0.05389254335182488,0.020204660612968394,0.07705931456093643,0.634432858005166,0.011903557900472789,0.04059158517856471,0.017941473570050704,0.002534415003802651,0.006758570391400528,0.21163402759116098
8,4,0.5,Reference,0.2508281061544462,0.8814725,0.5881971777243138,0.0,0.0,,0.017305785260455085,0.06577764094636862,0.07486180331842862,0.0,0.0,
8,4,0.5,IPF,,,,,,,,,,,,
8,4,0.5,N-BIPF,0.05786761486491034,0.19916625,0.031855280570466896,0.013351760749167408,0.05051394148924355,0.23317501723766326,0.009540933554576237,0.03203928404720763,0.010175775360001568,0.0021272592426001763,0.005332991212291433,0.06244591667184945
