sim_run,groups,categories_per_group,dependency_level,method,SRMSE 1,AMAE,AKLD,MACD_S,MACD_C,time_taken (s)
1,3,2,0.8,Reference,0.3328333333333333,0.9984999999999999,0.4300930858833551,0.0,0.0,
1,3,2,0.8,IPF,0.014083333333333383,0.04225000000000015,0.0006999627547455874,0.0071457105121086936,0.02013060088604279,0.05933695286512375
1,3,2,0.8,N-BIPF,0.01295833333333333,0.03887499999999999,0.0007020535129943421,0.009348138962213835,0.020064546067060474,0.06982859782874584
1,3,2,0.8,S-BIPF,0.014333333333333356,0.043000000000000066,0.0010210080063687782,0.008528321367268684,0.018331306377317703,0.17230854742228985
1,3,2,0.8,N-BIPF-RP,0.021333333333333326,0.06399999999999997,0.0017446932083840512,0.005225971425626608,0.012561409544443567,0.06984156370162964
1,3,2,0.8,S-BIPF-RP,0.060874999999999985,0.18262499999999995,0.02028821314973158,0.007337136460439912,0.017255953393005827,0.16849520802497864
1,3,2,0.5,Reference,0.1945,0.5835,0.21295645315332137,0.0,0.0,
1,3,2,0.5,IPF,0.00920833333333331,0.027624999999999927,0.0003383723939374356,0.006938292115717819,0.014327052946950417,0.06983308680355549
1,3,2,0.5,N-BIPF,0.010458333333333339,0.031375000000000014,0.0004537092675045266,0.004723992441716463,0.010813969431381883,0.06783862970769405
1,3,2,0.5,S-BIPF,0.011124999999999996,0.03337499999999999,0.0006285703054540587,0.01103002645760094,0.020983506921790098,0.16848035529255867
1,3,2,0.5,N-BIPF-RP,0.006374999999999982,0.019124999999999948,0.00022969203065449997,0.004736524818392093,0.011305408572815876,0.06710713356733322
1,3,2,0.5,S-BIPF-RP,0.03766666666666665,0.11299999999999993,0.012593722820674953,0.01361229134567458,0.027748969542699564,0.16770301572978497
1,3,2,0.2,Reference,0.21958333333333332,0.65875,0.18860853655199306,0.0,0.0,
1,3,2,0.2,IPF,0.008958333333333346,0.026875000000000038,0.000446809456099429,0.004942471419236627,0.012362396012053804,0.09997376799583435
1,3,2,0.2,N-BIPF,0.012791666666666646,0.03837499999999994,0.000660081427164873,0.005730779272886396,0.011796033083198614,0.12310260534286499
1,3,2,0.2,S-BIPF,0.014708333333333315,0.04412499999999994,0.0009389898857539948,0.006112374790528441,0.009721591103531869,0.30092863366007805
1,3,2,0.2,N-BIPF-RP,0.010375000000000032,0.031125000000000097,0.0004412331529228533,0.004803975958320796,0.01261658791532432,0.12250176817178726
1,3,2,0.2,S-BIPF-RP,0.01175000000000001,0.03525000000000003,0.0005621826077947438,0.009665490178164949,0.017773670687934683,0.3002672605216503
1,3,4,0.8,Reference,0.3801251586561567,0.48931250000000004,0.4486152334613303,0.0,0.0,
1,3,4,0.8,IPF,0.01599720119396664,0.02100000000000002,0.0009566065593438837,0.01985992422930941,0.037205494661943915,0.18656614422798157
1,3,4,0.8,N-BIPF,0.048111974319591,0.05831249999999996,0.007874138444492423,0.015471469275176765,0.03731506365126433,0.1297069601714611
1,3,4,0.8,S-BIPF,0.0322571592406426,0.04300000000000001,0.004214912572891511,0.01416163011974902,0.04444700858825802,0.3078570682555437
1,3,4,0.8,N-BIPF-RP,0.04085103828508546,0.05062499999999996,0.006405027362067221,0.01569245263515167,0.03764654398747767,0.13008970022201538
1,3,4,0.8,S-BIPF-RP,0.07181915988691413,0.0921875,0.02390010018906758,0.01416918303878205,0.043781144939248305,0.30285055562853813
1,3,4,0.5,Reference,0.2134559405663068,0.293,0.1616401563610326,0.0,0.0,
1,3,4,0.5,IPF,0.017867660303689078,0.023312500000000028,0.001058412692729863,0.008833067239246964,0.026847637429806434,0.12579353153705597
1,3,4,0.5,N-BIPF,0.0284466331272729,0.03749999999999997,0.0026453406769138808,0.004312683110556637,0.023665303682461968,0.06932373531162739
1,3,4,0.5,S-BIPF,0.0351492151742479,0.045999999999999985,0.004639583626651634,0.008233584556074444,0.032633062848835805,0.17118294909596443
1,3,4,0.5,N-BIPF-RP,0.026018209042533352,0.03237499999999995,0.002154992272084994,0.005207532234043796,0.025433113063889474,0.0694069154560566
1,3,4,0.5,S-BIPF-RP,0.04638477988222755,0.05681249999999998,0.009681046933461942,0.008267331418982993,0.03212657908211124,0.17060093581676483
1,3,4,0.2,Reference,0.2740287886771638,0.34618750000000004,0.2470155986252882,0.0,0.0,
1,3,4,0.2,IPF,0.01981536577381265,0.025875000000000016,0.001498120505279172,0.008213183562035474,0.026278684852932617,0.13064569607377052
1,3,4,0.2,N-BIPF,0.02979153384205055,0.03806250000000004,0.0029420612750985136,0.0069341772696990996,0.02919198112344905,0.07306724041700363
1,3,4,0.2,S-BIPF,0.02098589214996957,0.026624999999999982,0.0017538351524356958,0.009438293143535972,0.03585709226580957,0.16916006058454514
1,3,4,0.2,N-BIPF-RP,0.0318653128844218,0.0436875,0.003439484671542578,0.008473989818650362,0.026758354621905248,0.06846352107822895
1,3,4,0.2,S-BIPF-RP,0.03101810962958672,0.042062499999999975,0.00401085310767793,0.009455356037885118,0.036307031626438974,0.16968084312975407
1,3,6,0.8,Reference,0.3327510225679777,0.28683333333333333,0.3577916022871881,0.0,0.0,
1,3,6,0.8,IPF,0.02330845308309387,0.018875,0.0016874252248815463,0.01028617603103447,0.046667223235648474,0.27793760038912296
