,SRMSE 1,SRMSE 2,SRMSE 3,SRMSE 4,MACD_C,Diversity,Runtime
Independent,0.2772,0.7422,1.5532,2.9534,0.19,0.9093,1269.8815
IPF,0.0067,0.0402,0.1348,0.3899,0.021,0.0,129.5835
IPU,0.0042,0.0388,0.1332,0.3872,0.021,0.0,50.1204
SBIPF-GB,0.0131,0.0563,0.1648,0.4446,0.02,0.0,1.5709
NBIPF-GB,0.0509,0.1177,0.2503,0.5524,0.022,0.0,0.6675
SBIPF-RP,0.0359,0.112,0.2601,0.5904,0.02,0.0,1.5322
NBIPF-RP,0.0823,0.1996,0.4114,0.8311,0.02,0.0,0.6364
BN,0.2765,0.9973,2.6678,6.4233,0.179,0.4837,1.146
BN Copula,0.0042,0.5017,1.8739,5.4064,0.16,0.7785,18.0706
IPF BN,0.0086,0.1282,0.5481,1.749,0.168,0.5312,131.7936
IPU BN,0.0078,0.1247,0.5215,1.6893,0.157,0.5271,52.2903
SBIPF-GB BN,0.0148,0.0972,0.3552,1.1317,0.166,0.5275,3.6047
NBIPF-GB BN,0.0503,0.2303,0.7503,2.1385,0.174,0.5442,2.8673
SBIPF-RP BN,0.0366,0.2065,0.7123,2.0673,0.16,0.5415,3.7418
NBIPF-RP BN,0.0804,0.3398,1.0222,2.7659,0.17,0.5594,2.62
